ENERGY, 312.354706 joules, 1496044343 ms, plat
ENERGY, 312.354706 joules, 1496044343 ms, plat.node0
ENERGY, 318.654541 joules, 1496044443 ms, plat
ENERGY, 318.654541 joules, 1496044443 ms, plat.node0
ENERGY, 325.067291 joules, 1496044545 ms, plat
ENERGY, 325.067291 joules, 1496044545 ms, plat.node0
ENERGY, 331.443359 joules, 1496044645 ms, plat
ENERGY, 331.443359 joules, 1496044645 ms, plat.node0
ENERGY, 337.819427 joules, 1496044745 ms, plat
ENERGY, 337.819427 joules, 1496044745 ms, plat.node0
ENERGY, 344.258759 joules, 1496044846 ms, plat
ENERGY, 344.258759 joules, 1496044846 ms, plat.node0
ENERGY, 350.634033 joules, 1496044946 ms, plat
ENERGY, 350.634033 joules, 1496044946 ms, plat.node0
ENERGY, 357.026367 joules, 1496045046 ms, plat
ENERGY, 357.026367 joules, 1496045046 ms, plat.node0
ENERGY, 363.404999 joules, 1496045147 ms, plat
ENERGY, 363.404999 joules, 1496045147 ms, plat.node0
ENERGY, 369.697113 joules, 1496045247 ms, plat
ENERGY, 369.697113 joules, 1496045247 ms, plat.node0
ENERGY, 376.084473 joules, 1496045347 ms, plat
ENERGY, 376.084473 joules, 1496045347 ms, plat.node0
ENERGY, 382.566833 joules, 1496045448 ms, plat
ENERGY, 382.566833 joules, 1496045448 ms, plat.node0
ENERGY, 388.874695 joules, 1496045548 ms, plat
ENERGY, 388.874695 joules, 1496045548 ms, plat.node0
ENERGY, 395.326599 joules, 1496045649 ms, plat
ENERGY, 395.326599 joules, 1496045649 ms, plat.node0
ENERGY, 401.705658 joules, 1496045749 ms, plat
ENERGY, 401.705658 joules, 1496045749 ms, plat.node0
ENERGY, 408.089172 joules, 1496045849 ms, plat
ENERGY, 408.089172 joules, 1496045849 ms, plat.node0
ENERGY, 414.527527 joules, 1496045951 ms, plat
ENERGY, 414.527527 joules, 1496045951 ms, plat.node0
ENERGY, 420.840790 joules, 1496046051 ms, plat
ENERGY, 420.904968 joules, 1496046051 ms, plat.node0
ENERGY, 427.220978 joules, 1496046151 ms, plat
ENERGY, 427.220978 joules, 1496046151 ms, plat.node0
ENERGY, 433.612488 joules, 1496046251 ms, plat
ENERGY, 433.612488 joules, 1496046251 ms, plat.node0
ENERGY, 440.202301 joules, 1496046354 ms, plat
ENERGY, 440.202301 joules, 1496046354 ms, plat.node0
ENERGY, 446.476532 joules, 1496046454 ms, plat
ENERGY, 446.476532 joules, 1496046454 ms, plat.node0
ENERGY, 452.850525 joules, 1496046554 ms, plat
ENERGY, 452.850525 joules, 1496046554 ms, plat.node0
ENERGY, 459.240479 joules, 1496046654 ms, plat
ENERGY, 459.240479 joules, 1496046654 ms, plat.node0
ENERGY, 465.627686 joules, 1496046754 ms, plat
ENERGY, 465.627686 joules, 1496046754 ms, plat.node0
ENERGY, 472.010468 joules, 1496046854 ms, plat
ENERGY, 472.010468 joules, 1496046854 ms, plat.node0
ENERGY, 478.384583 joules, 1496046955 ms, plat
ENERGY, 478.384583 joules, 1496046955 ms, plat.node0
ENERGY, 484.753601 joules, 1496047055 ms, plat
ENERGY, 484.753601 joules, 1496047055 ms, plat.node0
ENERGY, 491.125366 joules, 1496047155 ms, plat
ENERGY, 491.125366 joules, 1496047155 ms, plat.node0
ENERGY, 497.574310 joules, 1496047257 ms, plat
ENERGY, 497.574310 joules, 1496047257 ms, plat.node0
ENERGY, 504.010742 joules, 1496047358 ms, plat
ENERGY, 504.010742 joules, 1496047358 ms, plat.node0
ENERGY, 510.400116 joules, 1496047458 ms, plat
ENERGY, 510.400116 joules, 1496047458 ms, plat.node0
ENERGY, 516.733307 joules, 1496047558 ms, plat
ENERGY, 516.733307 joules, 1496047558 ms, plat.node0
ENERGY, 523.103027 joules, 1496047658 ms, plat
ENERGY, 523.103027 joules, 1496047658 ms, plat.node0
ENERGY, 529.482483 joules, 1496047758 ms, plat
ENERGY, 529.482483 joules, 1496047758 ms, plat.node0
ENERGY, 535.877625 joules, 1496047858 ms, plat
ENERGY, 535.877625 joules, 1496047858 ms, plat.node0
ENERGY, 542.252563 joules, 1496047958 ms, plat
ENERGY, 542.252563 joules, 1496047958 ms, plat.node0
ENERGY, 548.547119 joules, 1496048058 ms, plat
ENERGY, 548.547119 joules, 1496048058 ms, plat.node0
ENERGY, 554.933044 joules, 1496048158 ms, plat
ENERGY, 554.933044 joules, 1496048158 ms, plat.node0
ENERGY, 561.383179 joules, 1496048259 ms, plat
ENERGY, 561.383179 joules, 1496048259 ms, plat.node0
ENERGY, 567.749634 joules, 1496048359 ms, plat
ENERGY, 567.749634 joules, 1496048359 ms, plat.node0
ENERGY, 574.130951 joules, 1496048459 ms, plat
ENERGY, 574.130951 joules, 1496048459 ms, plat.node0
ENERGY, 580.448517 joules, 1496048559 ms, plat
ENERGY, 580.448517 joules, 1496048559 ms, plat.node0
ENERGY, 586.825439 joules, 1496048660 ms, plat
ENERGY, 586.825439 joules, 1496048660 ms, plat.node0
ENERGY, 593.194519 joules, 1496048760 ms, plat
ENERGY, 593.194519 joules, 1496048760 ms, plat.node0
ENERGY, 599.591339 joules, 1496048860 ms, plat
ENERGY, 599.591339 joules, 1496048860 ms, plat.node0
ENERGY, 605.983795 joules, 1496048960 ms, plat
ENERGY, 605.983795 joules, 1496048960 ms, plat.node0
ENERGY, 612.366272 joules, 1496049060 ms, plat
ENERGY, 612.366272 joules, 1496049060 ms, plat.node0
ENERGY, 618.669525 joules, 1496049160 ms, plat
ENERGY, 618.669525 joules, 1496049160 ms, plat.node0
ENERGY, 625.065002 joules, 1496049260 ms, plat
ENERGY, 625.065002 joules, 1496049260 ms, plat.node0
ENERGY, 631.450745 joules, 1496049360 ms, plat
ENERGY, 631.450745 joules, 1496049360 ms, plat.node0
ENERGY, 637.839020 joules, 1496049460 ms, plat
ENERGY, 637.839020 joules, 1496049460 ms, plat.node0
ENERGY, 644.166809 joules, 1496049560 ms, plat
ENERGY, 644.166809 joules, 1496049560 ms, plat.node0
ENERGY, 650.531281 joules, 1496049660 ms, plat
ENERGY, 650.531281 joules, 1496049660 ms, plat.node0
ENERGY, 656.977905 joules, 1496049762 ms, plat
ENERGY, 656.977905 joules, 1496049762 ms, plat.node0
ENERGY, 663.344635 joules, 1496049862 ms, plat
ENERGY, 663.344635 joules, 1496049862 ms, plat.node0
ENERGY, 669.732635 joules, 1496049962 ms, plat
ENERGY, 669.732635 joules, 1496049962 ms, plat.node0
ENERGY, 676.127045 joules, 1496050062 ms, plat
ENERGY, 676.127045 joules, 1496050062 ms, plat.node0
ENERGY, 682.518951 joules, 1496050162 ms, plat
ENERGY, 682.518951 joules, 1496050162 ms, plat.node0
ENERGY, 688.912628 joules, 1496050263 ms, plat
ENERGY, 688.912628 joules, 1496050263 ms, plat.node0
ENERGY, 695.303192 joules, 1496050363 ms, plat
ENERGY, 695.303192 joules, 1496050363 ms, plat.node0
ENERGY, 701.596466 joules, 1496050463 ms, plat
ENERGY, 701.596466 joules, 1496050463 ms, plat.node0
ENERGY, 707.962708 joules, 1496050563 ms, plat
ENERGY, 707.962708 joules, 1496050563 ms, plat.node0
ENERGY, 714.350281 joules, 1496050663 ms, plat
ENERGY, 714.350281 joules, 1496050663 ms, plat.node0
ENERGY, 720.868378 joules, 1496050765 ms, plat
ENERGY, 720.868378 joules, 1496050765 ms, plat.node0
ENERGY, 727.204315 joules, 1496050865 ms, plat
ENERGY, 727.204315 joules, 1496050865 ms, plat.node0
ENERGY, 733.580322 joules, 1496050965 ms, plat
ENERGY, 733.580322 joules, 1496050965 ms, plat.node0
ENERGY, 740.103027 joules, 1496051067 ms, plat
ENERGY, 740.103027 joules, 1496051067 ms, plat.node0
ENERGY, 746.506226 joules, 1496051167 ms, plat
ENERGY, 746.506226 joules, 1496051167 ms, plat.node0
ENERGY, 752.825684 joules, 1496051267 ms, plat
ENERGY, 752.825684 joules, 1496051267 ms, plat.node0
ENERGY, 759.215485 joules, 1496051367 ms, plat
ENERGY, 759.215485 joules, 1496051367 ms, plat.node0
ENERGY, 765.605469 joules, 1496051467 ms, plat
ENERGY, 765.605469 joules, 1496051467 ms, plat.node0
ENERGY, 771.959320 joules, 1496051567 ms, plat
ENERGY, 771.959320 joules, 1496051567 ms, plat.node0
ENERGY, 778.364349 joules, 1496051667 ms, plat
ENERGY, 778.364349 joules, 1496051667 ms, plat.node0
ENERGY, 784.694580 joules, 1496051767 ms, plat
ENERGY, 784.694580 joules, 1496051767 ms, plat.node0
ENERGY, 791.084137 joules, 1496051867 ms, plat
ENERGY, 791.084137 joules, 1496051867 ms, plat.node0
ENERGY, 797.467346 joules, 1496051967 ms, plat
ENERGY, 797.467346 joules, 1496051967 ms, plat.node0
ENERGY, 803.860931 joules, 1496052067 ms, plat
ENERGY, 803.860931 joules, 1496052067 ms, plat.node0
ENERGY, 810.242096 joules, 1496052167 ms, plat
ENERGY, 810.242096 joules, 1496052167 ms, plat.node0
ENERGY, 816.671326 joules, 1496052269 ms, plat
ENERGY, 816.671326 joules, 1496052269 ms, plat.node0
ENERGY, 823.059814 joules, 1496052369 ms, plat
ENERGY, 823.059814 joules, 1496052369 ms, plat.node0
ENERGY, 829.446167 joules, 1496052470 ms, plat
ENERGY, 829.446167 joules, 1496052470 ms, plat.node0
ENERGY, 835.831909 joules, 1496052570 ms, plat
ENERGY, 835.831909 joules, 1496052570 ms, plat.node0
ENERGY, 842.213623 joules, 1496052670 ms, plat
ENERGY, 842.213623 joules, 1496052670 ms, plat.node0
ENERGY, 848.676819 joules, 1496052771 ms, plat
ENERGY, 848.676819 joules, 1496052771 ms, plat.node0
ENERGY, 854.978912 joules, 1496052871 ms, plat
ENERGY, 854.978912 joules, 1496052871 ms, plat.node0
ENERGY, 861.375275 joules, 1496052971 ms, plat
ENERGY, 861.375275 joules, 1496052971 ms, plat.node0
ENERGY, 867.768158 joules, 1496053071 ms, plat
ENERGY, 867.768158 joules, 1496053071 ms, plat.node0
ENERGY, 874.144165 joules, 1496053171 ms, plat
ENERGY, 874.144165 joules, 1496053171 ms, plat.node0
ENERGY, 880.537048 joules, 1496053271 ms, plat
ENERGY, 880.537048 joules, 1496053271 ms, plat.node0
ENERGY, 886.915405 joules, 1496053372 ms, plat
ENERGY, 886.915405 joules, 1496053372 ms, plat.node0
ENERGY, 893.309753 joules, 1496053472 ms, plat
ENERGY, 893.309753 joules, 1496053472 ms, plat.node0
ENERGY, 899.685974 joules, 1496053572 ms, plat
ENERGY, 899.685974 joules, 1496053572 ms, plat.node0
ENERGY, 906.083221 joules, 1496053672 ms, plat
ENERGY, 906.083221 joules, 1496053672 ms, plat.node0
ENERGY, 912.403046 joules, 1496053772 ms, plat
ENERGY, 912.403046 joules, 1496053772 ms, plat.node0
ENERGY, 918.794189 joules, 1496053873 ms, plat
ENERGY, 918.794189 joules, 1496053873 ms, plat.node0
