FUNCTION, MPI_Waitall start, 1496412958 ms, 8323329
FUNCTION, MPI_Waitall end, 1496412961 ms, 8323329
FUNCTION, MPI_Wait start, 1496412961 ms, 8323329
FUNCTION, MPI_Wait end, 1496412962 ms, 8323329
FUNCTION, MPI_Wait start, 1496412962 ms, 8323329
FUNCTION, MPI_Wait end, 1496412962 ms, 8323329
FUNCTION, MPI_Wait start, 1496412962 ms, 8323329
FUNCTION, MPI_Wait end, 1496412963 ms, 8323329
FUNCTION, MPI_Wait start, 1496412963 ms, 8323329
FUNCTION, MPI_Wait end, 1496412963 ms, 8323329
FUNCTION, MPI_Wait start, 1496412964 ms, 8323329
FUNCTION, MPI_Wait end, 1496412964 ms, 8323329
FUNCTION, MPI_Wait start, 1496412964 ms, 8323329
FUNCTION, MPI_Wait end, 1496412964 ms, 8323329
FUNCTION, MPI_Wait start, 1496412965 ms, 8323329
FUNCTION, MPI_Wait end, 1496412965 ms, 8323329
FUNCTION, MPI_Barrier start, 1496412965 ms, 8323329
FUNCTION, MPI_Barrier end, 1496412966 ms, 8323329
FUNCTION, MPI_Waitall start, 1496413176 ms, 8323329
FUNCTION, MPI_Waitall end, 1496413176 ms, 8323329
FUNCTION, MPI_Wait start, 1496413177 ms, 8323329
FUNCTION, MPI_Wait end, 1496413199 ms, 8323329
FUNCTION, MPI_Wait start, 1496413200 ms, 8323329
FUNCTION, MPI_Wait end, 1496413200 ms, 8323329
FUNCTION, MPI_Wait start, 1496413200 ms, 8323329
FUNCTION, MPI_Wait end, 1496413200 ms, 8323329
FUNCTION, MPI_Wait start, 1496413201 ms, 8323329
FUNCTION, MPI_Wait end, 1496413201 ms, 8323329
FUNCTION, MPI_Wait start, 1496413201 ms, 8323329
FUNCTION, MPI_Wait end, 1496413201 ms, 8323329
FUNCTION, MPI_Wait start, 1496413201 ms, 8323329
FUNCTION, MPI_Wait end, 1496413201 ms, 8323329
FUNCTION, MPI_Wait start, 1496413202 ms, 8323329
FUNCTION, MPI_Wait end, 1496413202 ms, 8323329
FUNCTION, MPI_Waitall start, 1496413285 ms, 8323329
FUNCTION, MPI_Waitall end, 1496413285 ms, 8323329
FUNCTION, MPI_Wait start, 1496413285 ms, 8323329
FUNCTION, MPI_Wait end, 1496413319 ms, 8323329
FUNCTION, MPI_Wait start, 1496413323 ms, 8323329
FUNCTION, MPI_Wait end, 1496413326 ms, 8323329
FUNCTION, MPI_Wait start, 1496413327 ms, 8323329
FUNCTION, MPI_Wait end, 1496413327 ms, 8323329
FUNCTION, MPI_Wait start, 1496413327 ms, 8323329
FUNCTION, MPI_Wait end, 1496413327 ms, 8323329
FUNCTION, MPI_Wait start, 1496413328 ms, 8323329
FUNCTION, MPI_Wait end, 1496413328 ms, 8323329
FUNCTION, MPI_Wait start, 1496413328 ms, 8323329
FUNCTION, MPI_Wait end, 1496413328 ms, 8323329
FUNCTION, MPI_Wait start, 1496413329 ms, 8323329
FUNCTION, MPI_Wait end, 1496413329 ms, 8323329
FUNCTION, MPI_Waitall start, 1496413392 ms, 8323329
FUNCTION, MPI_Waitall end, 1496413393 ms, 8323329
FUNCTION, MPI_Wait start, 1496413398 ms, 8323329
FUNCTION, MPI_Wait end, 1496413400 ms, 8323329
FUNCTION, MPI_Wait start, 1496413400 ms, 8323329
FUNCTION, MPI_Wait end, 1496413402 ms, 8323329
FUNCTION, MPI_Wait start, 1496413403 ms, 8323329
FUNCTION, MPI_Wait end, 1496413403 ms, 8323329
FUNCTION, MPI_Allreduce start, 1496424825 ms, 8323329
FUNCTION, MPI_Allreduce end, 1496425008 ms, 8323329
FUNCTION, MPI_Waitall start, 1496425203 ms, 8323329
FUNCTION, MPI_Waitall end, 1496425204 ms, 8323329
FUNCTION, MPI_Wait start, 1496425204 ms, 8323329
FUNCTION, MPI_Wait end, 1496425204 ms, 8323329
FUNCTION, MPI_Wait start, 1496425206 ms, 8323329
FUNCTION, MPI_Wait end, 1496425206 ms, 8323329
FUNCTION, MPI_Wait start, 1496425207 ms, 8323329
FUNCTION, MPI_Wait end, 1496425207 ms, 8323329
FUNCTION, MPI_Wait start, 1496425207 ms, 8323329
FUNCTION, MPI_Wait end, 1496425207 ms, 8323329
FUNCTION, MPI_Wait start, 1496425208 ms, 8323329
FUNCTION, MPI_Wait end, 1496425208 ms, 8323329
FUNCTION, MPI_Wait start, 1496425208 ms, 8323329
FUNCTION, MPI_Wait end, 1496425208 ms, 8323329
FUNCTION, MPI_Wait start, 1496425209 ms, 8323329
FUNCTION, MPI_Wait end, 1496425215 ms, 8323329
FUNCTION, MPI_Waitall start, 1496425294 ms, 8323329
FUNCTION, MPI_Waitall end, 1496425296 ms, 8323329
FUNCTION, MPI_Wait start, 1496425298 ms, 8323329
FUNCTION, MPI_Wait end, 1496425310 ms, 8323329
FUNCTION, MPI_Wait start, 1496425310 ms, 8323329
FUNCTION, MPI_Wait end, 1496425311 ms, 8323329
FUNCTION, MPI_Wait start, 1496425311 ms, 8323329
FUNCTION, MPI_Wait end, 1496425311 ms, 8323329
FUNCTION, MPI_Wait start, 1496425312 ms, 8323329
FUNCTION, MPI_Wait end, 1496425312 ms, 8323329
FUNCTION, MPI_Wait start, 1496425312 ms, 8323329
FUNCTION, MPI_Wait end, 1496425313 ms, 8323329
FUNCTION, MPI_Wait start, 1496425313 ms, 8323329
FUNCTION, MPI_Wait end, 1496425313 ms, 8323329
FUNCTION, MPI_Wait start, 1496425314 ms, 8323329
FUNCTION, MPI_Wait end, 1496425321 ms, 8323329
FUNCTION, MPI_Waitall start, 1496425399 ms, 8323329
FUNCTION, MPI_Waitall end, 1496425400 ms, 8323329
FUNCTION, MPI_Wait start, 1496425400 ms, 8323329
FUNCTION, MPI_Wait end, 1496425400 ms, 8323329
FUNCTION, MPI_Wait start, 1496425401 ms, 8323329
FUNCTION, MPI_Wait end, 1496425401 ms, 8323329
FUNCTION, MPI_Wait start, 1496425403 ms, 8323329
FUNCTION, MPI_Wait end, 1496425403 ms, 8323329
FUNCTION, MPI_Allreduce start, 1496437125 ms, 8323329
FUNCTION, MPI_Allreduce end, 1496437365 ms, 8323329
FUNCTION, MPI_Waitall start, 1496437534 ms, 8323329
FUNCTION, MPI_Waitall end, 1496437534 ms, 8323329
FUNCTION, MPI_Wait start, 1496437535 ms, 8323329
FUNCTION, MPI_Wait end, 1496437566 ms, 8323329
FUNCTION, MPI_Wait start, 1496437566 ms, 8323329
FUNCTION, MPI_Wait end, 1496437573 ms, 8323329
FUNCTION, MPI_Wait start, 1496437574 ms, 8323329
FUNCTION, MPI_Wait end, 1496437574 ms, 8323329
FUNCTION, MPI_Wait start, 1496437575 ms, 8323329
FUNCTION, MPI_Wait end, 1496437575 ms, 8323329
FUNCTION, MPI_Wait start, 1496437578 ms, 8323329
FUNCTION, MPI_Wait end, 1496437578 ms, 8323329
FUNCTION, MPI_Wait start, 1496437578 ms, 8323329
