FUNCTION, MPI_Wait end, 998846771 ms, 8323329
FUNCTION, MPI_Waitall start, 998846828 ms, 8323329
FUNCTION, MPI_Waitall end, 998846828 ms, 8323329
FUNCTION, MPI_Wait start, 998846829 ms, 8323329
FUNCTION, MPI_Wait end, 998846829 ms, 8323329
FUNCTION, MPI_Wait start, 998846829 ms, 8323329
FUNCTION, MPI_Wait end, 998846830 ms, 8323329
FUNCTION, MPI_Wait start, 998846830 ms, 8323329
FUNCTION, MPI_Wait end, 998846830 ms, 8323329
FUNCTION, MPI_Allreduce start, 998858551 ms, 8323329
FUNCTION, MPI_Allreduce end, 998858802 ms, 8323329
FUNCTION, MPI_Waitall start, 998858991 ms, 8323329
FUNCTION, MPI_Waitall end, 998858991 ms, 8323329
FUNCTION, MPI_Wait start, 998858992 ms, 8323329
FUNCTION, MPI_Wait end, 998858992 ms, 8323329
FUNCTION, MPI_Wait start, 998858992 ms, 8323329
FUNCTION, MPI_Wait end, 998859004 ms, 8323329
FUNCTION, MPI_Wait start, 998859005 ms, 8323329
FUNCTION, MPI_Wait end, 998859005 ms, 8323329
FUNCTION, MPI_Wait start, 998859005 ms, 8323329
FUNCTION, MPI_Wait end, 998859006 ms, 8323329
FUNCTION, MPI_Wait start, 998859006 ms, 8323329
FUNCTION, MPI_Wait end, 998859006 ms, 8323329
FUNCTION, MPI_Wait start, 998859006 ms, 8323329
FUNCTION, MPI_Wait end, 998859007 ms, 8323329
FUNCTION, MPI_Wait start, 998859007 ms, 8323329
FUNCTION, MPI_Wait end, 998859021 ms, 8323329
FUNCTION, MPI_Waitall start, 998859112 ms, 8323329
FUNCTION, MPI_Waitall end, 998859122 ms, 8323329
FUNCTION, MPI_Wait start, 998859122 ms, 8323329
FUNCTION, MPI_Wait end, 998859125 ms, 8323329
FUNCTION, MPI_Wait start, 998859125 ms, 8323329
FUNCTION, MPI_Wait end, 998859126 ms, 8323329
FUNCTION, MPI_Wait start, 998859126 ms, 8323329
FUNCTION, MPI_Wait end, 998859126 ms, 8323329
FUNCTION, MPI_Waitall start, 998859186 ms, 8323329
FUNCTION, MPI_Waitall end, 998859190 ms, 8323329
FUNCTION, MPI_Wait start, 998859191 ms, 8323329
FUNCTION, MPI_Wait end, 998859191 ms, 8323329
FUNCTION, MPI_Wait start, 998859191 ms, 8323329
FUNCTION, MPI_Wait end, 998859192 ms, 8323329
FUNCTION, MPI_Wait start, 998859197 ms, 8323329
FUNCTION, MPI_Wait end, 998859197 ms, 8323329
FUNCTION, MPI_Allreduce start, 998870850 ms, 8323329
FUNCTION, MPI_Allreduce end, 998871259 ms, 8323329
FUNCTION, MPI_Waitall start, 998871458 ms, 8323329
FUNCTION, MPI_Waitall end, 998871459 ms, 8323329
FUNCTION, MPI_Wait start, 998871459 ms, 8323329
FUNCTION, MPI_Wait end, 998871459 ms, 8323329
FUNCTION, MPI_Wait start, 998871459 ms, 8323329
FUNCTION, MPI_Wait end, 998871468 ms, 8323329
FUNCTION, MPI_Wait start, 998871469 ms, 8323329
FUNCTION, MPI_Wait end, 998871469 ms, 8323329
FUNCTION, MPI_Wait start, 998871469 ms, 8323329
FUNCTION, MPI_Wait end, 998871478 ms, 8323329
FUNCTION, MPI_Wait start, 998871478 ms, 8323329
FUNCTION, MPI_Wait end, 998871478 ms, 8323329
FUNCTION, MPI_Wait start, 998871479 ms, 8323329
FUNCTION, MPI_Wait end, 998871479 ms, 8323329
FUNCTION, MPI_Wait start, 998871479 ms, 8323329
FUNCTION, MPI_Wait end, 998871479 ms, 8323329
FUNCTION, MPI_Waitall start, 998871575 ms, 8323329
FUNCTION, MPI_Waitall end, 998871580 ms, 8323329
FUNCTION, MPI_Wait start, 998871594 ms, 8323329
FUNCTION, MPI_Wait end, 998871599 ms, 8323329
FUNCTION, MPI_Wait start, 998871605 ms, 8323329
FUNCTION, MPI_Wait end, 998871606 ms, 8323329
FUNCTION, MPI_Wait start, 998871606 ms, 8323329
FUNCTION, MPI_Wait end, 998871606 ms, 8323329
FUNCTION, MPI_Waitall start, 998871642 ms, 8323329
FUNCTION, MPI_Waitall end, 998871642 ms, 8323329
FUNCTION, MPI_Wait start, 998871642 ms, 8323329
FUNCTION, MPI_Wait end, 998871643 ms, 8323329
FUNCTION, MPI_Wait start, 998871643 ms, 8323329
FUNCTION, MPI_Wait end, 998871655 ms, 8323329
FUNCTION, MPI_Wait start, 998871656 ms, 8323329
FUNCTION, MPI_Wait end, 998871656 ms, 8323329
FUNCTION, MPI_Reduce start, 998883167 ms, 8323329
FUNCTION, MPI_Reduce end, 998883427 ms, 8323329
