time(ms) energy(J) GlobalRank
3630768 2195.797058 0
3630868 2196.758789 0
lat.node0
ENERGY, 335.019653 joules, 1495868143 ms, plat
ENERGY, 335.019653 joules, 1495868143 ms, plat.node0
ENERGY, 341.449646 joules, 1495868244 ms, plat
ENERGY, 341.449646 joules, 1495868244 ms, plat.node0
ENERGY, 347.795166 joules, 1495868344 ms, plat
ENERGY, 347.795166 joules, 1495868344 ms, plat.node0
ENERGY, 354.076843 joules, 1495868444 ms, plat
ENERGY, 354.076843 joules, 1495868444 ms, plat.node0
ENERGY, 360.421539 joules, 1495868544 ms, plat
ENERGY, 360.421539 joules, 1495868544 ms, plat.node0
ENERGY, 366.768250 joules, 1495868644 ms, plat
ENERGY, 366.768250 joules, 1495868644 ms, plat.node0
ENERGY, 373.113495 joules, 1495868744 ms, plat
ENERGY, 373.113495 joules, 1495868744 ms, plat.node0
ENERGY, 379.457703 joules, 1495868844 ms, plat
ENERGY, 379.457703 joules, 1495868844 ms, plat.node0
ENERGY, 385.741608 joules, 1495868944 ms, plat
ENERGY, 385.741608 joules, 1495868944 ms, plat.node0
ENERGY, 392.087433 joules, 1495869044 ms, plat
ENERGY, 392.087433 joules, 1495869044 ms, plat.node0
ENERGY, 398.430969 joules, 1495869144 ms, plat
ENERGY, 398.430969 joules, 1495869144 ms, plat.node0
ENERGY, 404.383850 joules, 1495869244 ms, plat
ENERGY, 404.383850 joules, 1495869244 ms, plat.node0
ENERGY, 410.337341 joules, 1495869344 ms, plat
ENERGY, 410.337341 joules, 1495869344 ms, plat.node0
ENERGY, 416.377594 joules, 1495869445 ms, plat
ENERGY, 416.440216 joules, 1495869445 ms, plat.node0
ENERGY, 422.624786 joules, 1495869545 ms, plat
ENERGY, 422.624786 joules, 1495869545 ms, plat.node0
ENERGY, 428.876129 joules, 1495869645 ms, plat
ENERGY, 428.876129 joules, 1495869645 ms, plat.node0
ENERGY, 435.122162 joules, 1495869745 ms, plat
ENERGY, 435.122162 joules, 1495869745 ms, plat.node0
ENERGY, 441.372467 joules, 1495869845 ms, plat
ENERGY, 441.372467 joules, 1495869845 ms, plat.node0
ENERGY, 447.623840 joules, 1495869945 ms, plat
ENERGY, 447.623840 joules, 1495869945 ms, plat.node0
ENERGY, 453.610779 joules, 1495870045 ms, plat
ENERGY, 453.610779 joules, 1495870045 ms, plat.node0
ENERGY, 459.617828 joules, 1495870145 ms, plat
ENERGY, 459.617828 joules, 1495870145 ms, plat.node0
ENERGY, 465.686218 joules, 1495870245 ms, plat
ENERGY, 465.686218 joules, 1495870245 ms, plat.node0
ENERGY, 471.751068 joules, 1495870345 ms, plat
ENERGY, 471.751068 joules, 1495870345 ms, plat.node0
ENERGY, 477.963715 joules, 1495870445 ms, plat
ENERGY, 477.963715 joules, 1495870445 ms, plat.node0
ENERGY, 483.894989 joules, 1495870546 ms, plat
ENERGY, 483.894989 joules, 1495870546 ms, plat.node0
ENERGY, 489.995728 joules, 1495870646 ms, plat
ENERGY, 489.995728 joules, 1495870646 ms, plat.node0
ENERGY, 496.220795 joules, 1495870746 ms, plat
ENERGY, 496.220795 joules, 1495870746 ms, plat.node0
ENERGY, 502.434479 joules, 1495870846 ms, plat
ENERGY, 502.434479 joules, 1495870846 ms, plat.node0
ENERGY, 508.646973 joules, 1495870946 ms, plat
ENERGY, 508.646973 joules, 1495870946 ms, plat.node0
ENERGY, 514.840576 joules, 1495871046 ms, plat
ENERGY, 514.840576 joules, 1495871046 ms, plat.node0
ENERGY, 521.114166 joules, 1495871146 ms, plat
ENERGY, 521.114166 joules, 1495871146 ms, plat.node0
ENERGY, 527.332153 joules, 1495871246 ms, plat
ENERGY, 527.332153 joules, 1495871246 ms, plat.node0
ENERGY, 533.611328 joules, 1495871346 ms, plat
ENERGY, 533.611328 joules, 1495871346 ms, plat.node0
ENERGY, 539.895569 joules, 1495871446 ms, plat
ENERGY, 539.895569 joules, 1495871446 ms, plat.node0
ENERGY, 546.179260 joules, 1495871546 ms, plat
ENERGY, 546.179260 joules, 1495871546 ms, plat.node0
ENERGY, 552.460449 joules, 1495871646 ms, plat
ENERGY, 552.460449 joules, 1495871646 ms, plat.node0
ENERGY, 558.680176 joules, 1495871746 ms, plat
ENERGY, 558.680176 joules, 1495871746 ms, plat.node0
ENERGY, 564.960876 joules, 1495871847 ms, plat
ENERGY, 564.960876 joules, 1495871847 ms, plat.node0
ENERGY, 571.245667 joules, 1495871947 ms, plat
ENERGY, 571.245667 joules, 1495871947 ms, plat.node0
ENERGY, 577.528381 joules, 1495872047 ms, plat
ENERGY, 577.528381 joules, 1495872047 ms, plat.node0
ENERGY, 583.802063 joules, 1495872147 ms, plat
ENERGY, 583.802063 joules, 1495872147 ms, plat.node0
ENERGY, 589.863220 joules, 1495872247 ms, plat
ENERGY, 589.924652 joules, 1495872247 ms, plat.node0
ENERGY, 596.068146 joules, 1495872347 ms, plat
ENERGY, 596.068146 joules, 1495872347 ms, plat.node0
ENERGY, 602.350372 joules, 1495872447 ms, plat
ENERGY, 602.350372 joules, 1495872447 ms, plat.node0
ENERGY, 608.630951 joules, 1495872547 ms, plat
ENERGY, 608.630951 joules, 1495872547 ms, plat.node0
ENERGY, 614.910980 joules, 1495872647 ms, plat
ENERGY, 614.910980 joules, 1495872647 ms, plat.node0
ENERGY, 621.129120 joules, 1495872747 ms, plat
ENERGY, 621.190948 joules, 1495872747 ms, plat.node0
ENERGY, 627.410492 joules, 1495872847 ms, plat
ENERGY, 627.410492 joules, 1495872847 ms, plat.node0
ENERGY, 633.691101 joules, 1495872947 ms, plat
ENERGY, 633.691101 joules, 1495872948 ms, plat.node0
ENERGY, 639.971619 joules, 1495873048 ms, plat
ENERGY, 639.971619 joules, 1495873048 ms, plat.node0
ENERGY, 646.253571 joules, 1495873148 ms, plat
ENERGY, 646.253571 joules, 1495873148 ms, plat.node0
ENERGY, 652.533234 joules, 1495873248 ms, plat
ENERGY, 652.533234 joules, 1495873248 ms, plat.node0
ENERGY, 658.815002 joules, 1495873348 ms, plat
ENERGY, 658.815002 joules, 1495873348 ms, plat.node0
ENERGY, 665.033905 joules, 1495873448 ms, plat
ENERGY, 665.033905 joules, 1495873448 ms, plat.node0
ENERGY, 671.316101 joules, 1495873548 ms, plat
ENERGY, 671.316101 joules, 1495873548 ms, plat.node0
ENERGY, 677.595856 joules, 1495873648 ms, plat
ENERGY, 677.595856 joules, 1495873648 ms, plat.node0
ENERGY, 683.875519 joules, 1495873748 ms, plat
ENERGY, 683.875519 joules, 1495873748 ms, plat.node0
ENERGY, 690.158630 joules, 1495873848 ms, plat
ENERGY, 690.158630 joules, 1495873848 ms, plat.node0
ENERGY, 696.377045 joules, 1495873948 ms, plat
ENERGY, 696.377045 joules, 1495873948 ms, plat.node0
ENERGY, 702.658264 joules, 1495874048 ms, plat
ENERGY, 702.658264 joules, 1495874048 ms, plat.node0
ENERGY, 708.896149 joules, 1495874149 ms, plat
ENERGY, 708.896149 joules, 1495874149 ms, plat.node0
ENERGY, 715.061035 joules, 1495874249 ms, plat
ENERGY, 715.061035 joules, 1495874249 ms, plat.node0
ENERGY, 720.990173 joules, 1495874349 ms, plat
ENERGY, 720.990173 joules, 1495874349 ms, plat.node0
ENERGY, 726.947998 joules, 1495874449 ms, plat
ENERGY, 726.947998 joules, 1495874449 ms, plat.node0
ENERGY, 732.849945 joules, 1495874549 ms, plat
ENERGY, 732.849945 joules, 1495874549 ms, plat.node0
ENERGY, 739.040833 joules, 1495874649 ms, plat
ENERGY, 739.040833 joules, 1495874649 ms, plat.node0
ENERGY, 745.227844 joules, 1495874749 ms, plat
ENERGY, 745.227844 joules, 1495874749 ms, plat.node0
ENERGY, 751.417999 joules, 1495874849 ms, plat
ENERGY, 751.417999 joules, 1495874849 ms, plat.node0
ENERGY, 757.628784 joules, 1495874949 ms, plat
ENERGY, 757.628784 joules, 1495874949 ms, plat.node0
ENERGY, 763.612427 joules, 1495875049 ms, plat
ENERGY, 763.612427 joules, 1495875049 ms, plat.node0
ENERGY, 769.517548 joules, 1495875149 ms, plat
ENERGY, 769.517548 joules, 1495875149 ms, plat.node0
ENERGY, 775.324982 joules, 1495875250 ms, plat
ENERGY, 775.324982 joules, 1495875250 ms, plat.node0
ENERGY, 781.500397 joules, 1495875350 ms, plat
ENERGY, 781.500397 joules, 1495875350 ms, plat.node0
ENERGY, 787.698090 joules, 1495875450 ms, plat
ENERGY, 787.698090 joules, 1495875450 ms, plat.node0
ENERGY, 793.914917 joules, 1495875550 ms, plat
ENERGY, 793.914917 joules, 1495875550 ms, plat.node0
ENERGY, 800.096252 joules, 1495875650 ms, plat
ENERGY, 800.096252 joules, 1495875650 ms, plat.node0
ENERGY, 806.351044 joules, 1495875750 ms, plat
ENERGY, 806.351044 joules, 1495875750 ms, plat.node0
ENERGY, 812.607117 joules, 1495875850 ms, plat
ENERGY, 812.607117 joules, 1495875850 ms, plat.node0
ENERGY, 818.864899 joules, 1495875950 ms, plat
ENERGY, 818.864899 joules, 1495875950 ms, plat.node0
ENERGY, 825.127045 joules, 1495876050 ms, plat
ENERGY, 825.127045 joules, 1495876050 ms, plat.node0
ENERGY, 831.029755 joules, 1495876150 ms, plat
ENERGY, 831.091705 joules, 1495876150 ms, plat.node0
ENERGY, 837.031738 joules, 1495876250 ms, plat
ENERGY, 837.031738 joules, 1495876250 ms, plat.node0
ENERGY, 843.323059 joules, 1495876350 ms, plat
ENERGY, 843.323059 joules, 1495876350 ms, plat.node0
ENERGY, 849.645477 joules, 1495876451 ms, plat
ENERGY, 849.645477 joules, 1495876451 ms, plat.node0
ENERGY, 855.940704 joules, 1495876551 ms, plat
ENERGY, 855.940704 joules, 1495876551 ms, plat.node0
ENERGY, 862.226807 joules, 1495876651 ms, plat
ENERGY, 862.226807 joules, 1495876651 ms, plat.node0
ENERGY, 868.447632 joules, 1495876751 ms, plat
ENERGY, 868.447632 joules, 1495876751 ms, plat.node0
ENERGY, 874.734741 joules, 1495876851 ms, plat
ENERGY, 874.734741 joules, 1495876851 ms, plat.node0
ENERGY, 881.022278 joules, 1495876951 ms, plat
ENERGY, 881.022278 joules, 1495876951 ms, plat.node0
ENERGY, 887.306610 joules, 1495877051 ms, plat
ENERGY, 887.306610 joules, 1495877051 ms, plat.node0
ENERGY, 893.598419 joules, 1495877151 ms, plat
ENERGY, 893.598419 joules, 1495877151 ms, plat.node0
ENERGY, 899.894531 joules, 1495877251 ms, plat
ENERGY, 899.894531 joules, 1495877251 ms, plat.node0
ENERGY, 906.117859 joules, 1495877351 ms, plat
ENERGY, 906.117859 joules, 1495877351 ms, plat.node0
ENERGY, 912.410645 joules, 1495877451 ms, plat
